iter	Logloss	AUC	Accuracy
0	0.6312626905	0.9500490093	0.885875
1	0.5642107422	0.9717819947	0.91175
2	0.5065061016	0.9730506303	0.897375
3	0.4654176844	0.9746134357	0.901
4	0.4329399971	0.9767163152	0.923875
5	0.4065380497	0.9756164668	0.904125
6	0.381542456	0.9765236972	0.921375
7	0.3604686225	0.9777177258	0.91575
8	0.3374940021	0.9787058545	0.924875
9	0.3195713245	0.9800085525	0.92625
10	0.3080168941	0.980305169	0.925125
11	0.2950623599	0.9809895954	0.928125
12	0.2837431526	0.9812812234	0.92925
13	0.2735033488	0.9816696052	0.930375
14	0.2659950532	0.9818950465	0.93375
15	0.2543771553	0.982678165	0.934375
16	0.2439855485	0.9833349475	0.935375
17	0.2343904231	0.9837273011	0.934125
18	0.2286447159	0.9842373482	0.937625
19	0.2236846448	0.9846563925	0.937625
20	0.219208877	0.9849291463	0.93825
21	0.2138241548	0.9853879725	0.938375
22	0.2106315541	0.9855919024	0.939375
23	0.2081799902	0.9858439073	0.939375
24	0.2038677782	0.9862285715	0.94125
25	0.1992079567	0.9864278622	0.94075
26	0.1966852576	0.9865339896	0.940625
27	0.1921017418	0.9867795761	0.941125
28	0.1884057993	0.9871512762	0.9425
29	0.1854182927	0.9872185114	0.9425
30	0.1832138654	0.9873930179	0.942875
31	0.1794287684	0.987724809	0.943375
32	0.1768019105	0.9878460293	0.944125
33	0.1741822917	0.9880875169	0.944
34	0.1723666226	0.9881751514	0.94375
35	0.1701503921	0.9882772116	0.943625
36	0.1683615366	0.98836939	0.944375
37	0.1672702393	0.9884038973	0.9445
38	0.1657724926	0.9885918762	0.94475
39	0.1646799056	0.9886597151	0.9445
40	0.1632348634	0.9887393425	0.944625
41	0.1617167829	0.9888583386	0.945
42	0.1598939903	0.9890177839	0.945375
43	0.1584252755	0.9890831126	0.945625
44	0.1570093885	0.9892795436	0.945375
45	0.1560365324	0.9894083582	0.946125
46	0.1551418309	0.9894998692	0.9465
47	0.1542133959	0.9895773359	0.94625
48	0.1531134563	0.9896773625	0.946
49	0.1523821912	0.9897894636	0.94675
50	0.1516355001	0.9899035346	0.94725
51	0.1495686539	0.990113311	0.948125
52	0.1487028382	0.990228812	0.94825
53	0.1475730911	0.9903119345	0.948375
54	0.1470685775	0.990359247	0.949
55	0.1462319125	0.9904729367	0.949125
56	0.1455118976	0.9905355329	0.949375
57	0.1448135979	0.9905639394	0.949375
58	0.1436866263	0.9906824589	0.94925
59	0.1424083516	0.9907905564	0.949125
60	0.1416271258	0.9908573467	0.949
61	0.1398476966	0.9909791708	0.9495
62	0.1390819493	0.9910544132	0.95
63	0.1384363707	0.9911325472	0.950125
64	0.1377173643	0.9912297776	0.95025
65	0.1372160695	0.9912775032	0.950125
66	0.136541577	0.9913601173	0.95075
67	0.1358668237	0.9913916378	0.950875
68	0.1356249676	0.991409241	0.950625
69	0.1349545382	0.9914885823	0.95075
70	0.1338505481	0.9915634435	0.951
71	0.1333445604	0.9916154268	0.950625
72	0.1330288797	0.9916612459	0.951125
73	0.1325189307	0.991703252	0.950875
74	0.1318423639	0.9917960658	0.951375
75	0.1304035195	0.9918783622	0.95125
76	0.1294325075	0.9919720975	0.9515
77	0.1287596497	0.9920682477	0.952125
78	0.1284778411	0.9921125098	0.952375
79	0.1279914139	0.9921558504	0.95225
80	0.127049808	0.9922789455	0.953
81	0.1266818239	0.9923061446	0.953125
82	0.125863882	0.9924129075	0.953
83	0.1256831134	0.9924385179	0.953125
84	0.1254375033	0.9924565659	0.953125
85	0.1251708663	0.9925034018	0.95325
86	0.1249558324	0.9925215769	0.953
