iter	Passed	Remaining
0	25	2481
1	57	2823
2	86	2806
3	117	2818
4	148	2812
5	181	2846
6	211	2810
7	238	2741
8	262	2653
9	292	2628
10	318	2576
11	344	2527
12	370	2476
13	395	2431
14	418	2369
15	438	2304
16	460	2247
17	482	2196
18	503	2144
19	524	2097
20	545	2052
21	566	2009
22	588	1970
23	609	1930
24	633	1900
25	654	1862
26	675	1826
27	701	1802
28	732	1792
29	753	1758
30	777	1729
31	802	1706
32	824	1673
33	845	1642
34	867	1611
35	888	1579
36	909	1548
37	930	1518
38	951	1488
39	972	1458
40	993	1429
41	1017	1404
42	1039	1378
43	1067	1359
44	1089	1331
45	1111	1304
46	1133	1277
47	1154	1250
48	1175	1223
49	1196	1196
50	1218	1170
51	1239	1144
52	1260	1117
53	1280	1091
54	1303	1066
55	1323	1040
56	1348	1017
57	1373	994
58	1395	969
59	1416	944
60	1437	919
61	1459	894
62	1480	869
63	1502	845
64	1524	820
65	1545	796
66	1566	771
67	1587	747
68	1608	722
69	1629	698
70	1651	674
71	1672	650
72	1695	627
73	1717	603
74	1738	579
75	1759	555
76	1780	531
77	1805	509
78	1827	485
79	1848	462
80	1870	438
81	1891	415
82	1913	391
83	1934	368
84	1955	345
85	1976	321
86	1999	298
87	2028	276
88	2049	253
89	2070	230
90	2091	206
91	2112	183
92	2136	160
93	2158	137
94	2180	114
95	2201	91
96	2222	68
97	2250	45
98	2271	22
99	2292	0
