iter	Logloss	AUC	Accuracy
0	0.3287725277	0.9500490093	0.885875
1	0.2361385573	0.974439946	0.912375
2	0.1881846493	0.9819061994	0.9305
3	0.1587176139	0.9865075213	0.94075
4	0.1463114831	0.9881229138	0.944125
5	0.1397528429	0.9889893456	0.946
6	0.1338937059	0.9898197448	0.948
7	0.1293858985	0.9905460185	0.948625
8	0.1255022413	0.991146242	0.951375
9	0.1182268182	0.992335854	0.953
10	0.1168314154	0.9923676286	0.953125
11	0.1143950892	0.9925428659	0.953625
12	0.11174956	0.9929233041	0.955
13	0.1094933377	0.9931758809	0.95675
14	0.1069190883	0.9935893012	0.957625
15	0.1036245022	0.9940380231	0.959375
16	0.09901540451	0.9946111746	0.961875
17	0.09690265222	0.9949062978	0.96325
18	0.09626407963	0.9949521168	0.964
19	0.0957398957	0.9950177633	0.96475
20	0.0952858615	0.9950509996	0.964875
21	0.09528539933	0.9950507772	0.964875
22	0.09336985527	0.9953366857	0.965125
23	0.09091982131	0.9957022851	0.96675
24	0.08880396537	0.9958279221	0.967125
25	0.08825946375	0.9959203229	0.968125
26	0.08651483025	0.9961867852	0.96775
27	0.08395772083	0.9964418723	0.969
28	0.08138362877	0.9967516754	0.970625
29	0.08008778495	0.9969413701	0.9715
30	0.07896751105	0.9970895037	0.97175
31	0.07843336749	0.997157565	0.971875
32	0.07744983419	0.9972634382	0.97225
33	0.07642950522	0.9973750309	0.972875
34	0.07472783621	0.9975303454	0.975
35	0.07295754895	0.9976711708	0.975625
36	0.07143606895	0.9977957275	0.97625
37	0.0707019833	0.9978411017	0.976625
38	0.0706122191	0.9978529855	0.976625
39	0.06930756657	0.9980168792	0.97775
40	0.068304221	0.9981111229	0.977875
41	0.06816049857	0.9981198927	0.97775
42	0.06680805495	0.9982544902	0.977375
43	0.06622030971	0.9982740634	0.978
44	0.065149169	0.9983593466	0.978375
45	0.06345511858	0.9985243843	0.97925
46	0.06248109481	0.9985758592	0.979375
47	0.06131207501	0.9986839567	0.979875
48	0.0596358694	0.998827324	0.981125
49	0.05820718102	0.9989205509	0.982
